PONDERA;ORDRE_REVISADA;ANY;MES;DIA;HOR_INI;HOR_FIN;DURADA;TIP_TEL;ENQUESTADOR_CODI;ENQUESTADOR_SEXE;ENQUESTADOR_EDAT;ENQUESTADOR_ESTUDIS;ENQUESTADOR_NACIONALITAT;NUM_QUEST_CAMP;PROVINCIA;HABITAT;MUNICIPI;COMARCA;DOMICILI_PARTICULAR;LLENGUA_ENQUESTA;LLENGUA_SISTEMA;PADRO;CIUTADANIA;SEXE;EDAT;EDAT_GR;EDAT_CEO;US_TELEFON_FIX;LLOC_NAIX;HORA_PRIMERA_PREGUNTA;CIRCUIT_992_1;P1;P2;P3;P4;P5;P5_LITERALS;P6;P7;P8;P9;P10;P11;P12_1;P12_2;P13_A;P13_B;P13_C;P13_D;P13_E;P14;P15;P15_LITERALS;P16_1;P16_2;P16_3;P16_4;P16_LITERALS;P17;P17_LITERALS;P18_A;P18_B;P18_B_LITERALS;P19A_A_FERNANDEZ;P19B_A_FERNANDEZ;P19A_L_BORRAS;P19B_L_BORRAS;P19A_P_ARAGONES;P19B_P_ARAGONES;P19A_S_ILLA;P19B_S_ILLA;P19A_J_ALBIACH;P19B_J_ALBIACH;P19A_C_CARRIZOSA;P19B_C_CARRIZOSA;P19A_D_SABATER;P19B_D_SABATER;P19A_I_GARRIGA;P19B_I_GARRIGA;P19A_A_CHACON;P19B_A_CHACON;P20;P21;P22;P23;P23_LITERALS;P24;P25;P26;P27;P28;P29;P29_LITERALS;P30;P31;P32;P33;P33_LITERALS;P34;P34_LITERALS;P35;P36;P37;P38;P39;P40_1;P40_2;P40_3;P40_4;P40_LITERALS;HORA_ÚLTIMA_PREGUNTA;E1;E2;E3;E4;E5;E6;SUPERVISADA;P5R;P15R;P16_1R;P16_2R;P16_3R;P16_4R;P17R;P18R;P18_CENS;P18R_CENS;P16R
1;1;2021;1; ; ; ;571;Trucada a telèfon mòbil;98;Dona;42;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 10.001 a 50.000; ;Baix Llobregat;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Home;61;De 50 a 64 anys;De 60 a 64 anys;Sí, en fa ús;Catalunya; ;1;Dolenta;Molt dolenta;Bastant;4;CUP;-;Esquerra;Màxim catalanisme;Un nivell insuficient d’autonomia;Un Estat independent;Sí;Amb tota seguretat aniré a votar;La ideologia;Les propostes electorals;Ho té molt en compte;8;Ho té molt en compte;8;5;Abans que comenci la campanya;CUP;-; ; ; ; ;-;ERC;-;Estic segur/a que vaig votar;CUP;-;Sí;Molt deficient;Sí;8;Sí;6;Sí;5;Sí;7;Sí;Molt deficient;Sí;Excel·lent;Sí;Molt deficient;Sí;5; ;Catalunya;Catalunya;Catolicisme;-;No, mai;Treballa; ;Assalariat/ada indefinit/ida;Sector privat;Batxillerat, BUP, COU, Batxillerat superior, PREU;-;Casat/ada;2;Només català/ana;Català (Valencià/Balear);-;Català (Valencià/Balear);-;Classe mitjana; ;3;Entre 2.001€ i 3.000€;No; ; ; ; ;-; ;No;Mai;Gens;Molt;Molt;Molt;Sí;CUP;CUP; ; ; ; ;ERC;CUP;CUP;CUP; 
1;2;2021;1; ; ; ;775;Trucada a telèfon mòbil;98;Dona;42;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 150.001 a 1.000.000;HOSPITALET DE LLOBREGAT, L';Barcelonès;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Dona;62;De 50 a 64 anys;De 60 a 64 anys;No;Altres comunitats autònomes; ;2;Molt dolenta;Bona;Poc;5;Catalunya en Comú Podem;-;Esquerra;7;Un nivell suficient d’autonomia;Una regió d’Espanya;No;Amb tota seguretat aniré a votar;El líder/cap de llista;Les propostes electorals;5;Ho té molt en compte;Ho té molt en compte;8;8;Abans que comenci la campanya;No ho sap;-;ERC;Catalunya en Comú Podem;Altres partits; ;verdes;Catalunya en Comú Podem;-;Estic segur/a que vaig votar;No ho recorda;-;No; ;Sí;No ho sap;Sí;No ho sap;Sí;Excel·lent;No; ;No; ;Sí;5;No; ;No; ;1970;Altres comunitats autònomes;Altres comunitats autònomes;Catolicisme;-;No, mai;No treballa;Aturat /ada i busca la primera feina; ; ;ESO completa (Graduat escolar), EGB, Batxiller elemental o Certificat d’Escolaritat o d’Estudis Primaris;-;Divorciat/ada;2;Tan espanyol/a com català/ana;Castellà;-;Castellà;-; ;Classe treballadora baixa;1;Inferiors a 1.000€;No; ; ; ; ;-; ;No;Mai;Gens;Molt;Molt;Bastant; ;Catalunya en Comú Podem;NS/NC;ERC;Catalunya en Comú Podem;Altres, blanc; ;Catalunya en Comú Podem;NS/NC;No ho recorda;NS/NC;ERC / Altres
1;3;2021;1; ; ; ;748;Trucada a telèfon fix;629;Dona;58;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;TARRAGONA;De 50.001 a 150.000;TARRAGONA;Tarragonès;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;58;De 50 a 64 anys;De 55 a 59 anys;Sí, en fa ús;Altres comunitats autònomes; ;1;Molt dolenta;Dolenta;Bastant;5;PSC;-;Esquerra;5;Un nivell suficient d’autonomia;Un Estat dins una Espanya federal;No;Amb tota seguretat aniré a votar;La ideologia;L’actuació en el Govern/L’actuació a l’oposició;7;Ho té molt en compte;9;8;7;Abans que comenci la campanya;PSC;-; ; ; ; ;-;ERC;-;Estic segur/a que vaig votar;PSC;-;Sí;4;Sí;4;Sí;6;Sí;7;No; ;Sí;4;No; ;No; ;Sí;5;1966;Altres comunitats autònomes;Altres comunitats autònomes;Catolicisme;-;Sí, algun cop a l’any;Treballa; ;Assalariat/ada indefinit/ida;Sector públic (Administració Pública + empreses públiques);Cursos d’especialització professional, Postgrau, Màster (MIR, FIR...);-;Casat/ada;2;Tan espanyol/a com català/ana;Castellà;-;Castellà;-;Classe mitjana-baixa; ;3;Entre 3.001€ i 4.000€;No; ; ; ; ;-; ;No;Mai;Gens;Molt;Molt;Bastant;Sí;PSC;PSC; ; ; ; ;ERC;PSC;PSC;PSC; 
1;4;2021;1; ; ; ;933;Trucada a telèfon fix;629;Dona;58;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;De 50.001 a 150.000;SANT CUGAT DEL VALLÈS;Vallès Occidental;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;83;65 anys o més;De 80 anys i més;Sí, en fa ús;Catalunya; ;1;Ni bona ni dolenta;No ho sap;Poc;6;Junts per Catalunya;-;Esquerra;Màxim catalanisme;Un nivell insuficient d’autonomia;Un Estat independent;Sí;Amb tota seguretat aniré a votar;El propi partit; ;No ho sap;No ho sap;9;Ho té molt en compte;No ho sap;Abans que comenci la campanya;Junts per Catalunya;-; ; ; ; ;-;No ho recorda;-;Estic segur/a que vaig votar;Junts per Catalunya;-;No ho sap; ;Sí;8;Sí;7;Sí;5;Sí;No ho sap;Sí;Molt deficient;Sí;7;No; ;Sí;No ho sap; ;Catalunya;Catalunya;Cap: Agnosticisme;-; ;No treballa;Pensionista (abans no ha treballat); ; ;ESO completa (Graduat escolar), EGB, Batxiller elemental o Certificat d’Escolaritat o d’Estudis Primaris;-;Casat/ada;2;Només català/ana;Català (Valencià/Balear);-;Català (Valencià/Balear);-;Classe mitjana; ;5;No ho sap;Sí;Mobilitat reduïda; ; ; ;-; ;No;Quasi mai;Poc;Bastant;Bastant;Bastant; ;Junts per Catalunya;Junts per Catalunya; ; ; ; ;NS/NC;Junts per Catalunya;Junts per Catalunya;Junts per Catalunya; 
1;5;2021;1; ; ; ;983;Trucada a telèfon mòbil;852;Dona;63;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Dona;25;De 25 a 34 anys;De 25 a 29 anys;No;Catalunya; ;2;Dolenta;Dolenta;Bastant;5;Podemos;unidas podemos;Esquerra;7;Un nivell insuficient d’autonomia;Un Estat dins una Espanya federal;No;Amb tota seguretat aniré a votar;La ideologia; ;7;Ho té molt en compte;Ho té molt en compte;8;9;Abans que comenci la campanya;En Comú Podem;en comu podem; ; ; ; ;-;No ho recorda;junts per catalunya y esquerra;Estic segur/a que vaig votar;Podemos;podemos;No; ;Sí;7;Sí;6;Sí;7;No; ;No; ;No; ;No; ;Sí;5; ;Catalunya;Catalunya;Catolicisme;-;No, mai;Treballa; ;Assalariat/ada indefinit/ida;Sector privat;Llicenciatura, Arquitectura, Enginyeria, Grau o equivalent (4 anys o més);-;Amb parella estable;0;Tan espanyol/a com català/ana;Castellà;-;Català (Valencià/Balear);-; ;Classe mitjana;4;Entre 2.001€ i 3.000€;No; ; ; ; ;-; ;No;Mai;Gens;Molt;Molt;Molt; ;Catalunya en Comú Podem;Catalunya en Comú Podem; ; ; ; ;NS/NC;Catalunya en Comú Podem;Podemos;Catalunya en Comú Podem; 
1;6;2021;1; ; ; ;1104;Trucada a telèfon mòbil;98;Dona;42;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 150.001 a 1.000.000;HOSPITALET DE LLOBREGAT, L';Barcelonès;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Dona;70;65 anys o més;De 70 a 74 anys;No;Altres comunitats autònomes; ;1;Molt dolenta;Molt dolenta;Bastant;No ho sap;No contesta;-;No contesta;Mínim catalanisme;Un nivell suficient d’autonomia;Una regió d’Espanya;No;Amb tota seguretat no aniré a votar;La ideologia;L’actuació en el Govern/L’actuació a l’oposició;No ho sap;Ho té molt en compte;Ho té molt en compte;Ho té molt en compte;Ho té molt en compte;Abans que comenci la campanya;No contesta;-; ; ; ; ;-;No ho recorda;-;Estic segur/a que vaig votar;No contesta;-;No; ;Sí;No ho sap;Sí;No ho sap;Sí;No ho sap;No; ;Sí;No ho sap;Sí;No ho sap;No; ;No; ;1969;Unió Europea;Unió Europea;Catolicisme;-;No, mai;No treballa;Jubilat/ada o pensionista (abans ha treballat); ;Sector privat;ESO completa (Graduat escolar), EGB, Batxiller elemental o Certificat d’Escolaritat o d’Estudis Primaris;-;Separat/ada;1;Tan espanyol/a com català/ana;Castellà;-;Altres llengües o altres combinacions;GALLEGO - CASTELLANO;Classe mitjana; ;2;Entre 1.001€ i 2.000€;No; ; ; ; ;-; ;No;Mai;Molt;Poc;Molt;Poc;Sí;NS/NC;NS/NC; ; ; ; ;NS/NC;NS/NC;No contesta;NS/NC; 
1;7;2021;1; ; ; ;1438;Trucada a telèfon mòbil;629;Dona;58;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Home;44;De 35 a 49 anys;De 40 a 44 anys;Sí, però no en fa ús;Catalunya; ;1;Dolenta;Dolenta;Bastant;6;PDeCAT;-;Dreta;9;Un nivell insuficient d’autonomia;Un Estat independent;Sí;Amb tota seguretat aniré a votar;El propi partit;Les propostes electorals;Ho té molt en compte;No ho té gens en compte;Ho té molt en compte;No ho té gens en compte;No ho té gens en compte;Abans que comenci la campanya;Junts per Catalunya;-; ; ; ; ;-;Junts per Catalunya;-;Estic segur/a que vaig votar;Junts per Catalunya;-;Sí;2;Sí;9;Sí;5;Sí;3;Sí;4;Sí;Molt deficient;Sí;6;No; ;Sí;5; ;Catalunya;Catalunya;No contesta;-;No, mai;Treballa; ;Assalariat/ada indefinit/ida;Sector privat;Cicle formatiu de grau superior, FP2, Mestratge industrial o equivalent;-;Solter/a;0;Només català/ana;Català (Valencià/Balear);-;Català (Valencià/Balear);-;Classe mitjana-alta; ;1;Entre 1.001€ i 2.000€;No; ; ; ; ;-; ;No;Mai;Gens;Bastant;Molt;Bastant; ;PDeCAT;Junts per Catalunya; ; ; ; ;Junts per Catalunya;Junts per Catalunya;Junts per Catalunya;Junts per Catalunya; 
1;8;2021;1; ; ; ;666;Trucada a telèfon mòbil;98;Dona;42;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;De 150.001 a 1.000.000;BADALONA;Barcelonès;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;36;De 35 a 49 anys;De 35 a 39 anys;Sí, en fa ús;Catalunya; ;1;Dolenta;Ni bona ni dolenta;Poc;6;Catalunya en Comú Podem;-;Esquerra;7;Un nivell insuficient d’autonomia;Un Estat dins una Espanya federal;Sí;Amb tota seguretat aniré a votar;El propi partit;L’actuació en el Govern/L’actuació a l’oposició;8;Ho té molt en compte;Ho té molt en compte;6;8;Abans que comenci la campanya;Catalunya en Comú Podem;-; ; ; ; ;-;PSC;-;Estic segur/a que vaig votar;Catalunya en Comú Podem;-;No; ;Sí;6;Sí;7;Sí;8;No; ;No; ;Sí;6;No; ;Sí;6; ;Altres comunitats autònomes;Altres comunitats autònomes;Catolicisme;-;No, mai;No treballa;Treball domèstic no remunerat; ; ;Cicle formatiu de grau superior, FP2, Mestratge industrial o equivalent;-;Casat/ada;2;Més català/ana que espanyol/a;Castellà;-;Castellà;-;Classe mitjana; ;4;Entre 1.001€ i 2.000€;No; ; ; ; ;-; ;No;Mai;Gens;Molt;Molt;Molt; ;Catalunya en Comú Podem;Catalunya en Comú Podem; ; ; ; ;PSC;Catalunya en Comú Podem;Catalunya en Comú Podem;Catalunya en Comú Podem; 
1;9;2021;1; ; ; ;806;Trucada a telèfon fix;629;Dona;58;Batxillerat, BUP, FP2, COU, Mòdul professional 2 i 3;Espanya; ;BARCELONA;De 10.001 a 50.000; ;Baix Llobregat;Sí;Català;Català;Sí;Sí, tinc la ciutadania (espanyola);Dona;49;De 35 a 49 anys;De 45 a 49 anys;Sí, en fa ús;Catalunya; ;2;Molt dolenta;Molt dolenta;Bastant;1;Cap;-;Esquerra;4;Un nivell insuficient d’autonomia;Un Estat dins una Espanya federal;No;Amb tota seguretat aniré a votar;El propi partit; ;No ho té gens en compte;Ho té molt en compte;No ho té gens en compte;Ho té molt en compte;No ho té gens en compte;Abans que comenci la campanya;No ho sap;-;PSC;Catalunya en Comú Podem; ; ;-;No ho recorda;-;Estic segur/a que vaig votar;Catalunya en Comú Podem;-;No; ;Sí;4;Sí;7;Sí;8;No; ;No; ;No; ;No; ;Sí;6; ;Altres comunitats autònomes;Catalunya;Catolicisme;-;No, mai;Treballa; ;Assalariat/ada indefinit/ida;Organització privada sense afany de lucre (ONG’S, associacions);ESO completa (Graduat escolar), EGB, Batxiller elemental o Certificat d’Escolaritat o d’Estudis Primaris;-;Casat/ada;0;Tan espanyol/a com català/ana;Castellà;-;Castellà;-; ;Classe treballadora mitjana;2;Entre 1.001€ i 2.000€;Sí;Sistema nerviós; ; ; ;dislexia; ;No;Mai;Gens;Bastant;Molt;Bastant;Sí;Cap;NS/NC;PSC;Catalunya en Comú Podem; ; ;NS/NC;Catalunya en Comú Podem;Catalunya en Comú Podem;Catalunya en Comú Podem;PSC / Catalunya en Comú Podem
1;10;2021;1; ; ; ;642;Trucada a telèfon fix;98;Dona;42;ESO, EGB, FP1, Batxillerat elemental;Espanya; ;BARCELONA;Més de 1.000.000;BARCELONA;Barcelonès;Sí;Castellà;Castellà;Sí;Sí, tinc la ciutadania (espanyola);Home;24;24 anys o menys;De 20 a 24 anys;Sí, en fa ús;Catalunya; ;1;Dolenta;No ho sap;Poc;4;Cap;-;Centre;6;No ho sap;Un Estat dins una Espanya federal;No;Amb tota seguretat aniré a votar;L’actuació en el Govern/L’actuació a l’oposició;Les propostes electorals;4;9;Ho té molt en compte;8;8;Durant la campanya electoral;No ho sap;-;PSC;Catalunya en Comú Podem; ; ;-;PSC;-;Estic segur/a que vaig votar;PACMA;PACMA;No; ;No; ;No; ;Sí;No ho sap;No; ;No; ;No; ;No; ;No; ; ;Catalunya;Catalunya;Cap: Ateisme;-; ;No treballa;Aturat /ada i busca la primera feina; ; ;Cicle formatiu de grau superior, FP2, Mestratge industrial o equivalent;-;Solter/a;0;Tan espanyol/a com català/ana;Castellà;-;Castellà;-;Classe mitjana-baixa; ;2;Entre 1.001€ i 2.000€;No; ; ; ; ;-; ;No;Mai;Gens;Molt;Molt;Molt; ;Cap;NS/NC;PSC;Catalunya en Comú Podem; ; ;PSC;Altres, blanc;PACMA;Altres, blanc;PSC / Catalunya en Comú Podem
