ID,Lloc,Data,Hora,P.1,P.1.1,P.1.2,P.2,P.3,P.4,P.5,P.6.1,P.6.2,P.7.1,P.7.2,P.7.3,P.8.1,P.8.2,P.8.3,P.8.4,P.8.5,P.8.6,P.8.7,P.8.8,P.8.9,P.8.10,P.8.11,P.8.12,P.8.13,P.9.1,P.9.2,P.9.3,P.9.4,P.9.5,P.9.6,P.9.7,P.9.8,P.9.9,P.9.10,P.9.11,P.9.12,P.9.13,P.9.14,P.9.15,P.9.16,P.9.17,P.9.18,P.9.19,P.9.20,P.9.21,P.9.22,P.10,P.11,P.12,P.12.1,P.12.2,P.13.1,P.13.2,P.13.3,P.13.4,P.13.5,P.13.6,P.13.7,P.13.8,P.13.9,P.13.10,P.13.11,P.13.12,P.13.13,P.13.14,P.14,P.15,P.16,P.17.1,P.17.2,Observacions
         1,1,2013-11-21,12:35:00,2,1,12,1,1,3,21,3,4,Sida,"Gonorrea,Sifilis",Embarassos no dessitjats,4,4,3,3,3,2,1,3,1,3,1,3,1,3,2,2,3,2,2,2,3,3,2,3,3,3,2,3,3,1,3,3,3,3,1,19,1,2,NA,NA,2,1,2,2,2,2,1,2,2,1,1,1,11,7,2,1,2,3,2,GRUP1M
         2,1,2013-11-21,12:50:00,2,1,11,1,1,2,20,3,4,Sida,"Sifilis,Fongs,Gonorrea",98,4,4,4,3,3,2,2,4,2,3,1,3,1,2,1,1,2,1,1,1,3,3,1,2,2,1,2,3,3,1,3,2,3,3,1,16,1,1,2,12,1,1,1,2,1,1,2,1,1,2,1,1,8,6,4,4,1,3,3,
         3,1,2013-11-21,13:15:00,2,1,12,2,1,1,18,3,4,Sida,"Papiloma, Fongs",Embarassos no desitjats,4,3,3,3,3,1,1,3,1,3,1,3,1,2,2,1,3,1,1,3,4,2,1,4,2,3,1,3,3,1,3,2,3,3,1,17,1,2,NA,NA,1,1,2,11,2,1,1,2,1,1,1,11,11,6,2,3,1,2,3,
         4,1,2013-11-20,11:05:00,2,1,13,1,1,2,19,3,4,"Hepatitis, Sida","Herpes, Sifilis,Gonorrea",Embarassos no desitjats,4,3,3,3,3,2,1,3,1,3,1,3,1,2,3,1,2,1,1,1,4,3,1,3,2,3,1,3,3,1,3,2,3,3,1,15,1,2,NA,NA,2,1,1,1,2,1,1,2,2,1,1,1,11,7,3,3,1,4,3,"Realitzada simultàniament amb les id: 19,20 i 24"
         5,1,2013-11-20,11:25:00,2,1,10,1,1,2,22,3,4,Sida,"Fongs,Sifilis,Papiloma",98,4,3,4,4,3,1,1,3,1,3,1,3,3,3,2,1,2,1,1,2,3,3,1,2,2,2,1,3,3,2,3,2,3,3,1,17,1,2,NA,NA,1,1,2,1,1,1,1,2,2,2,1,1,11,6,2,2,1,3,4,
         6,1,2013-11-20,12:10:00,2,1,11,1,1,1,18,3,5,Sida,"Fongs,sifilis, gonorrea",Embarassos no desitjats,4,4,4,4,3,2,2,4,2,3,1,4,1,3,3,2,3,2,2,3,4,3,2,4,3,3,2,3,3,2,3,3,3,3,1,17,1,2,NA,NA,2,1,2,2,2,2,1,2,2,2,1,1,11,7,2,1,1,3,2,
         7,1,2013-11-20,12:40:00,2,1,12,1,1,1,18,3,4,Sida,"Ladillas,Gonorrea, Sifilis",Embarassos no desitjats,4,4,4,4,4,3,2,3,2,4,1,4,1,2,3,1,2,1,1,1,3,3,1,3,2,2,1,3,3,2,3,2,3,3,1,16,1,2,NA,NA,2,1,2,1,1,1,1,2,2,2,1,1,2,6,3,2,1,4,4,
         8,1,2013-11-20,13:05:00,2,1,13,1,1,3,21,3,4,"Hepatitis, Sida","Papiloma,Gonorrea,Sifilis",98,4,4,4,4,4,1,1,3,1,3,1,3,1,2,2,1,2,1,1,1,3,3,1,2,2,1,2,2,3,2,3,2,3,3,1,15,1,2,2,48,1,1,2,1,2,1,2,2,2,1,1,1,11,6,4,2,1,2,3,
         9,1,2013-11-22,10:15:00,2,1,10,2,1,2,19,3,6,Sida,"Herpes, Fongs, Sifilis",Embarassos no desitjats,4,4,4,4,4,3,2,4,3,3,1,4,2,3,3,1,2,1,1,3,3,2,1,3,2,NA,2,1,3,2,3,2,3,3,2,16,1,2,NA,NA,2,1,2,1,2,1,1,2,2,1,1,1,7,6,3,2,1,2,3,
        10,1,2013-11-22,10:40:00,2,1,12,1,1,3,20,3,5,Sida,"Gonorrea, Fongs...",98,4,4,4,4,4,3,2,4,3,4,1,4,1,2,2,1,2,1,1,1,3,3,1,3,2,1,NA,3,3,1,3,2,3,2,1,17,1,1,2,24,2,1,2,1,2,1,2,2,2,2,1,1,12,6,4,3,1,3,2,
